"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","PEARS","PEARS - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","2","42.1"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","PEARS","PEARS, (EXCL BARTLETT) - ACRES BEARING & NON-BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","PEARS","PEARS, (EXCL BARTLETT) - ACRES NON-BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","PEARS","PEARS, (EXCL BARTLETT) - OPERATIONS WITH AREA BEARING & NON-BEARING","TOTAL","NOT SPECIFIED","2","31.7"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","PEARS","PEARS, (EXCL BARTLETT) - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","2","47.0"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","PLUMS","PLUMS - ACRES BEARING & NON-BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","PLUMS","PLUMS - ACRES NON-BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","PLUMS","PLUMS - OPERATIONS WITH AREA BEARING & NON-BEARING","TOTAL","NOT SPECIFIED","2","27.9"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","PLUMS","PLUMS - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","2","39.7"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","PLUMS & PRUNES","PLUMS & PRUNES - ACRES BEARING & NON-BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","PLUMS & PRUNES","PLUMS & PRUNES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","PLUMS & PRUNES","PLUMS & PRUNES - OPERATIONS WITH AREA BEARING & NON-BEARING","TOTAL","NOT SPECIFIED","2","27.7"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","PLUMS & PRUNES","PLUMS & PRUNES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","2","39.7"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","CURRY","009","","","00000000","","APPLES","APPLES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","CURRY","009","","","00000000","","APPLES","APPLES - ACRES BEARING & NON-BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","CURRY","009","","","00000000","","APPLES","APPLES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","CURRY","009","","","00000000","","APPLES","APPLES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","2","(L)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","CURRY","009","","","00000000","","APPLES","APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING","TOTAL","NOT SPECIFIED","2","(L)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","CURRY","009","","","00000000","","APPLES","APPLES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","1","(L)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","CURRY","009","","","00000000","","APRICOTS","APRICOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","CURRY","009","","","00000000","","APRICOTS","APRICOTS - ACRES BEARING & NON-BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","CURRY","009","","","00000000","","APRICOTS","APRICOTS - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","1","(L)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","CURRY","009","","","00000000","","APRICOTS","APRICOTS - OPERATIONS WITH AREA BEARING & NON-BEARING","TOTAL","NOT SPECIFIED","1","(L)"
